score,label
0.017905435,0
0.021854136,2
0.011954569,2
0.0118709495,0
0.01278834,0
0.011914825,1
0.0123917535,0
0.012648842,0
0.011976803,0
0.0120312,0
0.014714214,2
0.013486128,0
0.11155958,0
0.01734489,2
0.01713964,1
0.012533656,0
0.018692615,0
0.011454647,0
0.012900735,0
0.017935932,2
0.012007215,1
0.012604862,0
0.011201024,0
0.014038413,0
0.051672794,2
0.010925449,0
0.011187448,0
0.010847431,0
0.014292033,0
0.698371,3
0.011005316,2
0.027906725,2
0.013974634,0
0.016725447,0
0.017060408,2
0.3411967,3
0.021445982,2
0.014935366,0
0.04418651,0
0.08663019,0
0.022963833,0
0.011761265,0
0.018306717,2
0.01272632,0
0.0141182775,0
0.011289649,0
0.016048707,0
0.01583951,0
0.024884967,2
0.045097843,2
0.013557377,0
0.011247588,0
0.012536878,0
0.12478577,2
0.02125359,0
0.011522543,0
0.013061051,0
0.010949906,0
0.01879374,0
0.077973634,3
0.016935604,0
0.010115094,0
0.0154223945,0
0.03902671,0
0.014184696,0
0.010556354,0
0.011941435,0
0.010664739,0
0.057797022,2
0.33176145,3
0.010531213,0
0.014351161,0
0.015939582,0
0.010350275,0
0.010697511,0
0.010183448,0
0.061988734,0
0.018644534,2
0.6833702,3
0.018904136,0
0.021333,0
0.011651451,0
0.011571378,0
0.011996789,0
0.014864926,2
0.011115465,0
0.030160533,0
0.010040276,0
0.5158968,3
0.08707826,2
0.09841162,2
0.011149353,0
0.011695027,0
0.016791567,0
0.012263435,0
0.011913254,0
0.011113473,0
0.0198288,3
0.018883472,0
0.015294291,0
0.011584354,1
0.021993073,0
0.011659064,0
0.050970268,2
0.015293123,0
0.012092043,0
0.017398408,0
0.7494515,3
0.43371406,3
0.014433084,0
0.022101197,2
0.012771507,2
0.011183651,0
0.011745585,0
0.015924899,0
0.014367587,0
0.01299454,0
0.01626087,2
0.011709597,0
0.0230799,0
0.010718338,0
0.010274823,1
0.0125312,0
0.009687951,0
0.011691059,0
0.011943298,0
0.011609294,0
0.015933225,0
0.012799288,0
0.01711174,0
0.015728576,0
0.012996271,0
0.010636301,0
0.016281523,0
0.012532049,0
0.017415768,2
0.016198896,0
0.009224637,0
0.01671789,0
0.013546657,2
0.011245186,0
0.023289101,2
0.012770558,0
0.011838285,0
0.014418652,0
0.024069374,0
0.013168355,0
0.01868678,2
0.018382506,0
0.009858427,0
0.0112320045,0
0.014000625,0
0.02144879,0
0.013653034,0
0.010237773,0
0.01793773,2
0.010239426,0
0.01581747,0
0.009700951,0
0.034619205,2
0.02490571,0
0.010232131,0
0.010501264,0
0.050365016,2
0.010275821,0
0.013807028,0
0.011015019,0
0.05341141,0
0.011246028,0
0.010885167,0
0.01681308,0
0.019661939,0
0.015769213,0
0.009520057,0
0.012084937,0
0.014627494,0
0.012423838,0
0.025955042,0
0.01599768,1
0.01142431,0
0.019693961,0
0.010350685,0
0.0409733,2
0.010146377,0
0.015112384,2
0.026608987,2
0.011825674,0
0.060706172,0
0.022614151,0
0.035304803,2
0.0112457005,0
0.018872583,0
0.010742791,0
0.019958636,0
0.014307008,0
0.013175768,0
0.010974939,0
0.014186557,0
0.023791268,2
0.12281966,0
0.01268865,0
0.75195146,3
0.015363422,1
0.17065318,2
0.010436504,0
0.014236371,2
0.015389332,0
0.015334184,0
0.016695214,0
0.018561952,2
0.01077935,0
0.017245138,0
0.009858134,0
0.026023544,2
0.013183781,0
0.013341653,0
0.018395105,0
0.012408537,2
0.012190084,0
0.32548553,3
0.01208222,0
0.012560915,0
0.0120423045,0
0.01539593,2
0.08359601,2
0.017653424,2
0.015869338,0
0.011198119,0
0.0107002985,0
0.01549526,0
0.012498295,0
0.029949896,0
0.009259795,0
0.23259583,2
0.01035555,0
0.05711496,0
0.01711578,0
0.011198023,0
0.014015668,2
0.009828557,0
0.02776618,2
0.011238402,0
0.013426789,0
0.011801052,0
0.019695995,0
0.507931,2
0.011092195,0
