score,label
0.066032246,0
0.87130535,2
0.019665858,2
0.018290617,0
0.015516127,0
0.019401114,1
0.07511557,0
0.019835845,0
0.020016775,0
0.020886796,0
0.8982439,2
0.01870146,0
0.102946684,0
0.89301413,2
0.02570753,1
0.019617451,0
0.02419957,0
0.020475535,0
0.02198777,0
0.8898064,2
0.053359427,1
0.015156742,0
0.016505094,0
0.25009385,0
0.9132436,2
0.021598523,0
0.015999993,0
0.01967012,0
0.47108132,0
0.018756604,3
0.026338913,2
0.8758392,2
0.016493883,0
0.016114853,0
0.91181564,2
0.37995678,3
0.8761485,2
0.019059246,0
0.32547972,0
0.13239127,0
0.019901277,0
0.041120667,0
0.8913694,2
0.07963486,0
0.044377044,0
0.018655933,0
0.015437736,0
0.097745314,0
0.91712606,2
0.9099812,2
0.016954979,0
0.028930122,0
0.023991415,0
0.49755242,2
0.07689175,0
0.018766563,0
0.01837862,0
0.01966811,0
0.032000054,0
0.029493434,3
0.029641997,0
0.01574846,0
0.3001088,0
0.024371674,0
0.07246656,0
0.019453028,0
0.2588407,0
0.015156316,0
0.9078886,2
0.017359503,3
0.023829097,0
0.018767472,0
0.025864482,0
0.019634414,0
0.031415507,0
0.014738609,0
0.059166692,0
0.9194404,2
0.30940244,3
0.016866574,0
0.03972886,0
0.017068774,0
0.015669208,0
0.023064299,0
0.90422094,2
0.030287914,0
0.48967877,0
0.020106483,0
0.016764631,3
0.9057324,2
0.849286,2
0.019195562,0
0.019557485,0
0.020539718,0
0.01875126,0
0.03110157,0
0.019769914,0
0.015253241,3
0.03145269,0
0.032067653,0
0.040590975,1
0.02979428,0
0.017087521,0
0.8828466,2
0.020206403,0
0.028751187,0
0.25893036,0
0.3346114,3
0.90800947,3
0.07269841,0
0.9024129,2
0.88547206,2
0.021568913,0
0.022643916,0
0.015562645,0
0.015688159,0
0.13977893,0
0.8164942,2
0.06051473,0
0.023113975,0
0.026361084,0
0.015915306,1
0.09373551,0
0.01580468,0
0.018469647,0
0.014570311,0
0.01952828,0
0.015601638,0
0.018516712,0
0.017464366,0
0.016505428,0
0.017268315,0
0.016089257,0
0.02818561,0
0.017507302,0
0.91495055,2
0.01855375,0
0.028885657,0
0.018279666,0
0.60391176,2
0.016261892,0
0.9142832,2
0.02528277,0
0.01926715,0
0.033791352,0
0.045566868,0
0.020117156,0
0.79569334,2
